townkey1849;city;Cityname;population;kreiskey1849;district;region;Gründung;Jahr;Gesamt;Turnfreunde;Turner_1420;Turner_20;Turner;Beruf_Handwerk;Beruf_Gelehrte;Beruf_Kaufleute;Check_Gesamt;Check_Beruf;Check_Alter
;Treptow an der Rega;Treptow an der Rega;6878;;Stettin;10;04.06.1862;1862;84;54;11;19;30;53;8;23;0;0;0
;Treptow an der Tollense;Treptow an der Tollense;4188;;Stettin;10;01.09.1862;1862;42;20;5;17;22;17;15;10;0;0;0
;Ueckermünde;Ueckermuende;4403;;Stettin;10;02.09.1861;1861;39;18;5;16;21;27;4;8;0;0;0
;Wollin;Wollin;5180;;Stettin;10;19.09.1862;1862;76;16;10;50;60;43;19;14;0;0;0
;Belgard;Belgard;5460;;Coeslin;11;09.06.1861;1861;82;55;6;21;27;33;18;31;0;0;0
;Bublitz;Bublitz;3755;;Coeslin;11;07.04.1863;1863;53;28;14;11;25;30;2;21;0;0;0
;Callies;Callies;3204;;Coeslin;11;20.06.1864;1864;52;11;4;37;41;38;8;6;0;0;0
;Coeslin;Coeslin;12089;;Coeslin;11;01.08.1863;1863;81;46;16;19;35;29;10;42;0;0;0
;Colberg;Colberg;11760;;Coeslin;11;06.08.1861;1861;116;88;12;16;28;28;34;54;0;0;0
;Dramburg;Dramburg;5032;;Coeslin;11;24.09.1861;1861;79;30;10;39;49;33;18;28;0;0;0
;Lauenburg in Pommern;Lauenburg in Pommern;5987;;Coeslin;11;06.07.1862;1862;176;126;4;46;50;91;21;64;0;0;0
;Neustettin;Neustettin;6106;;Coeslin;11;23.08.1862;1862;75;60;6;9;15;24;18;33;0;0;0
;Pollnow;Pollnow;2167;;Coeslin;11;10.09.1862;1862;63;43;0;20;20;29;18;16;0;0;0
;Polzin;Polzin;4373;;Coeslin;11;05.06.1862;1862;47;12;6;29;35;27;4;16;0;0;0
;Rügenwalde;Ruegenwalde;5200;;Coeslin;11;29.06.1862;1862;55;40;10;5;15;32;10;13;0;0;0
;Rummelsburg;Rummelsburg;5534;;Coeslin;11;01.09.1861;1861;30;12;10;8;18;27;1;2;0;0;0
;Schievelbein;Schievelbein;5402;;Coeslin;11;07.09.1862;1862;87;49;10;28;38;39;12;36;0;0;0
;Stolp;Stolp;13392;;Coeslin;11;15.09.1861;1861;107;86;9;12;21;29;4;74;0;0;0
;Barth;Barth;5757;;Stralsund;12;09.04.1862;1862;65;50;10;5;15;12;0;53;0;0;0
;Bergen auf Rügen;Bergen auf Ruegen;3656;;Stralsund;12;31.07.1862;1862;102;61;14;27;41;65;9;28;0;0;0
;Damgarten;Damgarten;2011;;Stralsund;12;01.08.1864;1864;65;24;5;36;41;32;13;20;0;0;0
;Eldena;Eldena;500;;Stralsund;12;24.06.1861;1861;20;5;0;15;15;0;20;0;0;0;0
